Sgnyea,Prvcnm_id,a0101,a0102,a0103,a0104,a0105,a0106,a0107,a0108,a0109,a0110,a0111,a0112,a0113,a0114,a0115
年度标识,区块编号,AQI,PM2.5,PM_2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
140629,1226A,80,59,59,88,90,11,23,61,53,14,120,53,105,0.974,0.606
140629,1227A,64,46,41,54,62,3,6,14,26,19,121,42,70,0.697,0.798
140629,1228A,68,49,50,78,82,3,4,2,20,2,14,2,4,0.698,0.638
140629,1229A,74,53,57,98,105,5,7,98,89,3,131,55,100,0.863,0.749
140629,1230A,94,70,65,81,104,8,17,79,72,52,134,77,108,1.177,1.002
140629,1231A,119,90,87,104,104,11,14,69,48,10,136,66,104,0.917,0.727
140629,1232A,60,37,42,70,81,7,26,44,50,20,96,48,81,1.012,1.085
140629,1233A,59,42,42,56,79,6,8,23,33,8,87,38,76,0.892,0.84
140630,1223A,76,54,46,102,91,6,13,48,44,35,130,73,107,0.905,0.94
140630,1224A,63,45,45,63,64,5,6,26,38,26,113,59,86,0.51,0.521
140630,1225A,37,18.793103,12,31,30,5,6,74,68,31,124,70,101,0.355,0.35
140630,1226A,88,65,63,106,95,67,30,93,55,2,124,52,101,0.68,0.726
140630,1227A,62,42,41,73,71,3,5,18,21,12,73,38,57,0.832,0.821
140630,1228A,78,40,47,105,95,3,3,27,9,2,5,2,3,0.812,0.76
140630,1229A,82,50,51,114,83,5,5,92,84,22,100,59,76,0.78,0.818
140630,1230A,80,59,51,96,84,8,9,73,66,47,118,72,100,0.989,0.999
140630,1231A,122,92,83,103,109,26,14,74,59,9,114,54,95,0.815,0.895
140630,1232A,74,44,41,98,98,18,14,36,40,41,117,63,84,1.278,1.075
140630,1233A,55,37,38,60,86,6,9,21,34,7,89,37,72,0.965,0.898
140701,1223A,124,94,70,132,114,9,7,74,59,4,113,36,87,1.17,0.973
140701,1224A,68,49,53,54.71875,66,4,4,52,35,14,108,43,92,0.764,0.502
140701,1225A,48,33,39,33.666667,42,5,6,78,70,11,142,21,106,0.454,0.414
140701,1226A,138,105,83,114,112,14,18,79,73,5,85,16,77,0.674,0.724
140701,1227A,61,42,46,72,71,3,3,23,31,17,82,24,62,0.941,0.879
140701,1228A,90,67,55,108,91,12,5,78,34,8,53,4,16,1.082,0.834
140701,1229A,98,73,62,133,99,8,5,121,105,1,88,22,68,1.163,0.958
140701,1230A,123,93,62,97,90,24,10,92,77,37,108,55,99,1.197,1.024
140701,1231A,143,109,87,105.666667,95,7,13,32,65,37,100,24,85,0.728,0.83
140701,1232A,78,55,48,106,89,8,8,66,57,3,85,24,70,1.391,1.223
140701,1233A,62,44,45,64,75,5,6,33,34,15,102,26,85,3.124,1.037
140702,1223A,138,105,97,75.833333,86,10,18,95,63,2,204,82,162,1.09,1.215
140702,1224A,92,68,68,52.46875,53,6,7,54,52,18,143,49,90,0.71,0.768
140702,1225A,41,24,20,33,37,5,5,82,80,2,12,2,18,0.526,0.496
140702,1226A,100,75,103,81,125,11,16,45,53,45,193,94,145,0.48,0.794
140702,1227A,82,60,51,83,87,3,4,21,29,15,87,26,59,1.034,1.141
140702,1228A,90,67,74,112,117,8,8,58,49,8,68,8,16,1.115,1.045
140702,1229A,117,88,79,149,143,6,8,81,82,12,195,85,136,1.093,1.152
140702,1230A,139,106,71,110.5,114,9,14,53,74,63,169,81,126,0.991,1.228
140702,1231A,103,77,107,89,135,6,9,32,41,45,163,80,126,0.673,0.894
140702,1232A,91,67,64,131,125,9,16,73,51,8,169,74,147,1.415,1.391
140702,1233A,77,56,57,91,98,3,7,7,27,70,149,88,109,0.88,3.68
140703,1223A,65,47,86,82.910256,2,13,21,60,65,16,114,14,62,0.907,1.155
140703,1224A,45,31,40,32.8,52,5,5,43,37,21,54,26,39,0.671,0.667
140703,1225A,11,3,14,11,33,5,20,6,50,7,11,7,7,0.463,0.548
140703,1226A,62,44,79,50.4,119,24,22,75,65,6,43,18,77,0.717,0.894
140703,1227A,61,37,36,71,61,3,3,31,19,2,28,9,20,1.235,1.087
140703,1228A,49,25,53,49,112,10,5,53,24,2,2,2,8,1.184,1.356
140703,1229A,46,32,56,40.230769,162,5,7,73,77,7,36,14,67,1.241,1.319
140703,1230A,42,29,56,35,88,11,11,77,69,41,82,57,74,1.097,1.275
140703,1231A,55,39,79,53.818182,119,6,7,29,49,39,41,34,69,0.933,1.03
140703,1232A,72,52,63,85,126,17,18,62,67,5,40,8,56,1.216,1.427
